id,date,event,market,odds,prob,strategy,kelly_fraction,cap_3pct,fixed_mode,fixed_value,stake,status,payout,profit,notes
2,2025-09-11,PUELLES,1X2,1.91,78.0,Kelly,0.25,False,,,269.12,En attente,,,
3,2025-09-11,nul borussia,,3.95,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
4,2025-09-11,Ausburg,,3.25,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
5,2025-09-11,Nul Mainz,,3.65,,Mise fixe,,,Montant,20.0,20.0,Perdu,0.0,-20.0,
6,2025-09-11,Wolfsburg,,1.99,,Mise fixe,,,Montant,20.0,20.0,Perdu,0.0,-20.0,
7,2025-09-11,Franckfort,,2.92,,Mise fixe,,,Montant,20.0,20.0,Perdu,0.0,-20.0,
8,2025-09-11,espanyol,,2.24,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
9,2025-09-11,nul ossasuna,,3.2,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
10,2025-09-11,nul sevilla,,3.25,,Mise fixe,,,Montant,20.0,20.0,Gagné,65.0,45.0,
11,2025-09-11,Lyon,,2.52,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
12,2025-09-11,Angers,,3.15,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
14,2025-09-11,Tothenam,,2.0799999999999983,,Mise fixe,,,Montant,20.0,20.0,Gagné,41.599999999999966,21.599999999999966,
15,2025-09-11,nul crystal,,3.8,,Mise fixe,,,Montant,20.0,20.0,Gagné,76.0,56.0,
16,2025-09-11,everton,,2.44,,Mise fixe,,,Montant,20.0,20.0,Perdu,0.0,-20.0,
18,2025-09-11,Nul fulhal,,3.5,,Mise fixe,,,Montant,20.0,20.0,Perdu,0.0,-20.0,
19,2025-09-13,nul cagliari,,3.2,,Mise fixe,,,Montant,20.0,20.0,Perdu,0.0,-20.0,
20,2025-09-13,juventus,,2.78,,Mise fixe,,,Montant,20.0,20.0,Gagné,55.599999999999994,35.599999999999994,
21,2025-09-13,napoli,,2.26,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
22,2025-09-13,Nul city ,,4.0,,Mise fixe,,,Montant,20.0,20.0,En attente,,,
